manga_title,volume_number,chapter_number,title,published_at,rating_avg
Shingeki no Kyojin,1,,,,
Shingeki no Kyojin,2,,,,
Shingeki no Kyojin,3,,,,
Shingeki no Kyojin,4,,,,
Shingeki no Kyojin,5,,,,
Shingeki no Kyojin,6,,,,
Shingeki no Kyojin,7,,,,
Shingeki no Kyojin,8,,,,
Shingeki no Kyojin,9,,,,
Shingeki no Kyojin,10,,,,
Shingeki no Kyojin,11,,,,
Shingeki no Kyojin,12,,,,
Shingeki no Kyojin,13,,,,
Shingeki no Kyojin,14,,,,
Shingeki no Kyojin,15,,,,
Shingeki no Kyojin,16,,,,
Shingeki no Kyojin,17,,,,
Shingeki no Kyojin,18,,,,
Shingeki no Kyojin,19,,,,
Shingeki no Kyojin,20,,,,
Shingeki no Kyojin,21,,,,
Shingeki no Kyojin,22,,,,
Shingeki no Kyojin,23,,,,
Shingeki no Kyojin,24,,,,
Shingeki no Kyojin,25,,,,
Shingeki no Kyojin,26,,,,
Shingeki no Kyojin,27,,,,
Shingeki no Kyojin,28,,,,
Shingeki no Kyojin,29,,,,
Shingeki no Kyojin,30,,,,
Shingeki no Kyojin,31,,,,
Shingeki no Kyojin,32,,,,
Shingeki no Kyojin,33,,,,
Shingeki no Kyojin,34,,(완결까지 총 141화),,
Jujutsu Kaisen,1,,,,
Jujutsu Kaisen,2,,,,
Jujutsu Kaisen,3,,,,
Jujutsu Kaisen,4,,,,
Jujutsu Kaisen,5,,,,
Jujutsu Kaisen,6,,,,
Jujutsu Kaisen,7,,,,
Jujutsu Kaisen,8,,,,
Jujutsu Kaisen,9,,,,
Jujutsu Kaisen,10,,,,
Jujutsu Kaisen,11,,,,
Jujutsu Kaisen,12,,,,
Jujutsu Kaisen,13,,,,
Jujutsu Kaisen,14,,,,
Jujutsu Kaisen,15,,,,
Jujutsu Kaisen,16,,,,
Jujutsu Kaisen,17,,,,
Jujutsu Kaisen,18,,,,
Jujutsu Kaisen,19,,,,
Jujutsu Kaisen,20,,,,
Jujutsu Kaisen,21,,,,
Jujutsu Kaisen,22,,,,
Jujutsu Kaisen,23,,,,
Jujutsu Kaisen,24,,,,
Jujutsu Kaisen,25,,,,
Jujutsu Kaisen,26,,,,
Jujutsu Kaisen,27,,,,
Jujutsu Kaisen,28,,,,
Jujutsu Kaisen,29,,,,
Jujutsu Kaisen,30,,(완결까지 총 272화),,
Death Note,1,,,,
Death Note,2,,,,
Death Note,3,,,,
Death Note,4,,,,
Death Note,5,,,,
Death Note,6,,,,
Death Note,7,,,,
Death Note,8,,,,
Death Note,9,,,,
Death Note,10,,,,
Death Note,11,,,,
Death Note,12,,(완결까지 총 108화),,
Boku no Hero Academia,1,,,,
Boku no Hero Academia,2,,,,
Boku no Hero Academia,3,,,,
Boku no Hero Academia,4,,,,
Boku no Hero Academia,5,,,,
Boku no Hero Academia,6,,,,
Boku no Hero Academia,7,,,,
Boku no Hero Academia,8,,,,
Boku no Hero Academia,9,,,,
Boku no Hero Academia,10,,,,
Boku no Hero Academia,11,,,,
Boku no Hero Academia,12,,,,
Boku no Hero Academia,13,,,,
Boku no Hero Academia,14,,,,
Boku no Hero Academia,15,,,,
Boku no Hero Academia,16,,,,
Boku no Hero Academia,17,,,,
Boku no Hero Academia,18,,,,
Boku no Hero Academia,19,,,,
Boku no Hero Academia,20,,,,
Boku no Hero Academia,21,,,,
Boku no Hero Academia,22,,,,
Boku no Hero Academia,23,,,,
Boku no Hero Academia,24,,,,
Boku no Hero Academia,25,,,,
Boku no Hero Academia,26,,,,
Boku no Hero Academia,27,,,,
Boku no Hero Academia,28,,,,
Boku no Hero Academia,29,,,,
Boku no Hero Academia,30,,,,
Boku no Hero Academia,31,,,,
Boku no Hero Academia,32,,,,
Boku no Hero Academia,33,,,,
Boku no Hero Academia,34,,,,
Boku no Hero Academia,35,,,,
Boku no Hero Academia,36,,,,
Boku no Hero Academia,37,,,,
Boku no Hero Academia,38,,,,
Boku no Hero Academia,39,,,,
Boku no Hero Academia,40,,,,
Boku no Hero Academia,41,,,,
Boku no Hero Academia,42,,(완결까지 총 432화),,
Tokyo Ghoul,1,,,,
Tokyo Ghoul,2,,,,
Tokyo Ghoul,3,,,,
Tokyo Ghoul,4,,,,
Tokyo Ghoul,5,,,,
Tokyo Ghoul,6,,,,
Tokyo Ghoul,7,,,,
Tokyo Ghoul,8,,,,
Tokyo Ghoul,9,,,,
Tokyo Ghoul,10,,,,
Tokyo Ghoul,11,,,,
Tokyo Ghoul,12,,,,
Tokyo Ghoul,13,,,,
Tokyo Ghoul,14,,(완결까지 총 144화),,
Naruto,1,,,,
Naruto,2,,,,
Naruto,3,,,,
Naruto,4,,,,
Naruto,5,,,,
Naruto,6,,,,
Naruto,7,,,,
Naruto,8,,,,
Naruto,9,,,,
Naruto,10,,,,
Naruto,11,,,,
Naruto,12,,,,
Naruto,13,,,,
Naruto,14,,,,
Naruto,15,,,,
