anime_title,anime_original_title,anime_type,anime_release_year,anime_episode_count,anime_status,anime_studio,anime_synopsis,anime_poster_image_url,anime_banner_image_url,anime_rating_avg,anime_rating_count,anime_favorite_count,manga_title,manga_original_title,manga_author,manga_illustrator,manga_publisher,manga_status,manga_description,manga_cover_image_url,manga_banner_image_url,manga_rating_avg,manga_rating_count,manga_favorite_count,genres,studio_tag,anime_season_label,anime_episode_from,anime_episode_to,manga_volume_from,manga_volume_to,manga_chapter_from,manga_chapter_to,continue_volume,continue_chapter,mapping_text,mapping_description,source_note
Attack on Titan,進撃の巨人,TVA,2013,25,COMPLETED,WIT STUDIO,"Several hundred years ago, humans were nearly exterminated by titans. Titans are typically several stories tall, seem to have no intelligence, devour human beings and, worst of all, seem to do it for the pleasure rather than as a food source. A small percentage of humanity survived by walling themselves in a city protected by extremely high walls, even taller than the biggest of titans.


Flash forward to the present and the city has not seen a titan in over 100 years. Teenage boy Eren and his foster sister Mikasa witness something horrific as the city walls are destroyed by a colossal titan that appears out of thin air. As the smaller titans flood the city, the two kids watch in horror as their mother is eaten alive. Eren vows that he will murder every single titan and take revenge for all of mankind.


(Source: MangaHelpers)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx16498-buvcRTBx4NSm.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/16498-8jpFCOcDmneX.jpg,4.2,,,Shingeki no Kyojin,AoT,ISAYAMA Hajime,ISAYAMA Hajime,Kodansha,COMPLETED,"From Kodansha:  
In this post-apocalyptic sci-fi story, humanity has been devastated by the bizarre, giant humanoids known as the Titans. Little is known about where they came from or why they are bent on consuming mankind. Seemingly unintelligent, they have roamed the world for years, killing everyone they see. For the past century, what’s left of man has hidden in a giant, three-walled city. People believe their 100-meter-high walls will protect them from the Titans, but the sudden appearance of an immense Titan is about to change everything. 

**Official Japanese:** [Kodansha](https://www.kodansha.co.jp/titles/1000004974), [Pocket Magazine](https://pocket.shonenmagazine.com/episode/13932016480029113127), [Shonen Jump](https://shonenmagazine.com/special_page/shingeki/)

**Official Translations:**  
English ([Azuki](https://www.azuki.co/series/attack-on-titan), [K MANGA](https://kmanga.kodansha.com/title/10136/episode/312468), [Kodansha](https://kodansha.us/series/attack-on-titan), [Manga Planet](https://mangaplanet.com/comic/618e30af823f4), [MangaPlaza](https://mangaplaza.com/title/0303001570/?content_id=103030015700001)), Korean ([Kakao Page](https://page.kakao.com/content/46321870), [MrBlue](https://www.mrblue.com/comic/advancegiants_w), [Naver Series](https://series.naver.com/comic/detail.series?productNo=487862), [RIDI](https://ridibooks.com/books/505019412))   

Note: The most notable award wins and nominations follow.
Won the Kodansha Manga Award in the Shōnen category in 2011, the Eagle Award for Best Manga and the 27th Harvey Award for Best American Edition of Foreign Material in 2014, the 1st Sugoi Japan Award in 2015, the Noma Publishing Culture Award in 2021 and the 53rd Seiun Award for Best Comic in 2022.
Nominated for the 4th annual Manga Taishō Award in 2012 and the 16th and 18th annual Tezuka Osamu Cultural Prize in 2016 and 2018.",https://cdn.mangaupdates.com/image/i424594.png,,4.2,,,Action;Drama;Fantasy;Horror;Mature;Mystery;Psychological;Shounen;Supernatural;Tragedy,WIT STUDIO,,1,25,1,8,1,34,9,35,애니 시청 후 원작 9권 35화부터,,"[MangaUpdates] 애니화 시작: Vol 1, Chap 1 (S1) / Vol 9, Chap 35 (S2) / Vol 13, Chap 51 (S3P1) / Vol 23, Chap 91 (S4P1) / 종료: Vol 8, Chap 34 (S1 + OVA 1) / Vol 12, Chap 50 (S2) / Vol 22, Chap 90 (S3P2) / Vol 34, Chap 139 (S4P3)"
,,,,,,,,,,,,,Kimetsu no Yaiba dj - OniImo no Nin,Kimetsu no Yaiba dj - Demon Sister's Pregnancy,San Se Fang (NekoWeapons),San Se Fang (NekoWeapons),,COMPLETED,,https://cdn.mangaupdates.com/image/i356061.jpg,,3.1,,,Adult;Doujinshi;Hentai;Historical,,,,,,,,,,,,,
JUJUTSU KAISEN,呪術廻戦,TVA,2020,24,COMPLETED,MAPPA,"A boy fights... for ""the right death.""



Hardship, regret, shame: the negative feelings that humans feel become Curses that lurk in our everyday lives. The Curses run rampant throughout the world, capable of leading people to terrible misfortune and even death. What's more, the Curses can only be exorcised by another Curse.



Itadori Yuji is a boy with tremendous physical strength, though he lives a completely ordinary high school life. One day, to save a friend who has been attacked by Curses, he eats the finger of the Double-Faced Specter, taking the Curse into his own soul. From then on, he shares one body with the Double-Faced Specter. Guided by the most powerful of sorcerers, Gojou Satoru, Itadori is admitted to the Tokyo Metropolitan Technical High School of Sorcery, an organization that fights the Curses... and thus begins the heroic tale of a boy who became a Curse to exorcise a Curse, a life from which he could never turn back.



(Source: Crunchyroll)



Note: The first episode received an early web premiere on September 19th, 2020. The regular TV broadcast started on October 3rd, 2020.",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx113415-LHBAeoZDIsnF.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/113415-jQBSkxWAAk83.jpg,4.2,,,Jujutsu Kaisen,Chú Thuật Hồi Chiến,AKUTAMI Gege,AKUTAMI Gege,Shueisha,COMPLETED,"From Viz:  

Although Yuji Itadori looks like your average teenager, his immense physical strength is something to behold! Every sports club wants him to join, but Itadori would rather hang out with the school outcasts in the Occult Research Club. One day, the club manages to get their hands on a sealed cursed object. Little do they know the terror they’ll unleash when they break the seal.

Note: Nominated for the fifth Next Manga Award in the Print category in 2018, the 65th Shogakukan Manga Award in the Shonen category in 2019 and the 25th annual Tezuka Osamu Cultural Prize in 2021.  
Won the third annual Tsutaya Comic Award in 2019 and the Mando Kobayashi Manga Grand Prix in 2020.

**Official Japanese:**  
[Zebrack](https://zebrack-comic.shueisha.co.jp/title/3361/volume_list), [Shueisha](https://www.shueisha.co.jp/books/search/search.html?seriesid=37298)

**Official Translations:**  
Read for FREE on Manga Plus ([English](https://mangaplus.shueisha.co.jp/titles/100034), 
[French](https://mangaplus.shueisha.co.jp/titles/700004), [Indonesian](https://mangaplus.shueisha.co.jp/titles/400002), [Portugese](https://mangaplus.shueisha.co.jp/titles/100150), [Russian](https://mangaplus.shueisha.co.jp/titles/600001), [Spanish](https://mangaplus.shueisha.co.jp/titles/200018), [Thai](https://mangaplus.shueisha.co.jp/titles/300007))    

Chinese ([Bilibili](https://manga.bilibili.com/detail/mc26505), [Tongli](https://www.tongli.com.tw/BooksList.aspx?Page=2&B=JC1116)), [English](https://www.viz.com/manga-books/manga/jujutsu-kaisen/all), Korean ([Kakao Page](https://page.kakao.com/content/53478091), [Mcomics](https://www.mcomics.co.kr/cartoon/7868?from=cartoon), [MrBlue](https://www.mrblue.com/comic/dcwcm_0934), [Naver Series](https://series.naver.com/comic/detail.series?productNo=4358797), [Ridi](https://ridibooks.com/books/1019023956))",https://cdn.mangaupdates.com/image/i470074.jpg,,3.8,,,Action;Comedy;Drama;Horror;Mature;Mystery;School Life;Shounen;Supernatural,MAPPA,,1,24,1,8,1,63,8,64,애니 시청 후 원작 8권 64화부터,,"[MangaUpdates] 애니화 시작: Vol 1, Chap 1 (S1) / Vol 8, Chap 64 (S2) / Vol 16, Chap 138 (S3) / 종료: Vol 8, Chap 63 (S1) / Vol 16, Chap 137 (S2) / Vol 21, Chap 181 Page 14 (S3)"
Death Note,DEATH NOTE,TVA,2006,37,COMPLETED,MADHOUSE,"Light Yagami is a genius high school student who is about to learn about life through a book of death. When a bored shinigami, a God of Death, named Ryuk drops a black notepad called a Death Note, Light receives power over life and death with the stroke of a pen. Determined to use this dark gift for the best, Light sets out to rid the world of evil… namely, the people he believes to be evil. Should anyone hold such power?



The consequences of Light’s actions will set the world ablaze.



(Source: VIZ Media)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx1535-kUgkcrfOrkUM.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/1535.jpg,4.2,,,Death Note,Beležnica smrti,OHBA Tsugumi,OBATA Takeshi,Shueisha,COMPLETED,"From Viz:  
Light tests the boundaries of the Death Note's powers as L and the police begin to close in. Luckily Light's father is the head of the Japanese National Police Agency and leaves vital information about the case lying around the house. With access to his father's files, Light can keep one step ahead of the authorities. But who is the strange man following him, and how can Light guard against enemies whose names he doesn't know?

**Original Manga:** [Jump Comics](https://www.shueisha.co.jp/books/items/contents.html?isbn=4-08-873621-4), [Shonen Jump+](https://shonenjumpplus.com/episode/10833519556325021815), [Yangjiang+](https://ynjn.jp/comicList/1630), [Zebrack](https://zebrack-comic.shueisha.co.jp/title/236) | [Mechacomic](https://mechacomic.jp/books/85871), [Piccoma](https://piccoma.com/web/product/4167?etype=episode)

[Read for FREE on Manga Plus](https://mangaplus.shueisha.co.jp/titles/100008)

##### Note: Won the Eagle Award for Favourite Manga in 2008. Was nominated as Best Manga at the 2006 American Anime Awards, the 2007 Tezuka Osamu Cultural Prize, an Official Selection at Angoulême International Comics Festival 2008 and Obata was nominated for Best Penciller/Inker at the 2008 Eisner Awards.",https://cdn.mangaupdates.com/image/i295749.jpg,,4.3,,,Drama;Mystery;Psychological;Shounen;Supernatural;Tragedy;Thriller,MADHOUSE,,1,37,1,12,1,107,12,108,애니 시청 후 원작 12권 108화부터,,"[MangaUpdates] 애니화 시작: Vol 1, Chap 1 / 종료: Vol 12, Chap 107 (Abridged after Chap 59/EP25 with a changed ending, Skips Chap 108)"
My Hero Academia,僕のヒーローアカデミア,TVA,2016,13,COMPLETED,bones,"What would the world be like if 80 percent of the population manifested extraordinary superpowers called “Quirks” at age four? Heroes and villains would be battling it out everywhere! Becoming a hero would mean learning to use your power, but where would you go to study? U.A. High's Hero Program of course! But what would you do if you were one of the 20 percent who were born Quirkless?



Middle school student Izuku Midoriya wants to be a hero more than anything, but he hasn't got an ounce of power in him. With no chance of ever getting into the prestigious U.A. High School for budding heroes, his life is looking more and more like a dead end. Then an encounter with All Might, the greatest hero of them all gives him a chance to change his destiny…



(Source: VIZ Media)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx21459-nYh85uj2Fuwr.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/21459-yeVkolGKdGUV.jpg,3.9,,,Boku no Hero Academia,BnHA,HORIKOSHI Kouhei,HORIKOSHI Kouhei,Shueisha,COMPLETED,"From Viz:  
Middle school student Izuku Midoriya wants to be a hero more than anything, but he hasn’t got an ounce of power in him. With no chance of ever getting into the prestigious U.A. High School for budding heroes, his life is looking more and more like a dead end. Then an encounter with All Might, the greatest hero of them all, gives him a chance to change his destiny.

Official English: [Manga Plus](https://mangaplus.shueisha.co.jp/titles/100017), [Viz](https://www.viz.com/manga-books/manga/my-hero-academia-volume-1/product/3767) 

Note: Won the 1st Next Manga Award in 2015, the Mandō Kobayashi Manga Award in 2015, the Japan Expo Awards in 2017 and 2018, the 3rd Sugoi Japan Award in 2017, the 23rd and 24th Salón del Manga de Barcelona in 2017 and 2018 and the 31st Harvey Awards in 2019. Nominated for the 8th Manga Taisho Award in 2015, the 40th Kodansha Manga Award in 2016, the 44th and 47th Angoulême International Comics Festival in 2017 and 2020 and the 30th Harvey Awards for Best Manga in 2018.",https://cdn.mangaupdates.com/image/i505247.jpg,,3.9,,,Action;Comedy;Drama;School Life;Sci-fi;Shounen;Supernatural;Adventure,bones,,1,13,1,3,1,21,3,22,애니 시청 후 원작 3권 22화부터,,"[MangaUpdates] 애니화 시작: Vol 1, Chap 1 (S1) / Vol 3, Chap 22 (S2) / Vol 8, Chap 70 (S3) / Vol 14, Chap 125 (S4) / Vol 21, Chap 191 (S5) / Vol 26, Chap 258 (S6) / Vol 34, Chap 329 (S7) / Vol 40, Chap 399 (S8) / 종료: Vol 3, Chap 21 (S1) / Vol 8, Chap 70 (S2) / Vol 14, Chap 124 (S3) / Vol 21, Chap 190 (S4) / Vol 26, Chap 257 (S5) / Vol 34, Chap 327 (S6) / Vol 40, Chap 398 (S7) / Vol 42, Chap 432 (S8 + More OVA+ONA)"
,,,,,,,,,,,,,Hunter x Hunter (Novel),,KISHIMA Nobuaki,TOGASHI Yoshihiro,Shueisha,ONGOING,"From Shueisha:  
Gon learns that his father, whom he thought was dead, is actually a great hunter. He heads to the exam center to become a hunter himself! 

Adapts the Hunter Exam arc, including the Zoldyck Family epilogue. Incorporates material from the 1999 anime, its artbook, Drama CDs and original subplots.",https://cdn.mangaupdates.com/image/i507647.jpg,,,,,Action;Adventure;Drama;Fantasy;Mystery;Shounen;Supernatural,,,,,,,,,,,,,
One-Punch Man,ワンパンマン,TVA,2015,12,COMPLETED,MADHOUSE,"Saitama has a rather peculiar hobby, being a superhero, but despite his heroic deeds and superhuman abilities, a shadow looms over his life. He's become much too powerful, to the point that every opponent ends up defeated with a single punch.



The lack of challenge has driven him into a state of apathy, as he watches his life pass by having lost all enthusiasm, at least until he's unwillingly thrust in the role of being a mentor to the young and revenge-driven Genos.",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx21087-B5DHjqZ3kW4b.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/21087-sHb9zUZFsHe1.jpg,4.2,,,One Punch-Man,One Punch Man,ONE,MURATA Yuusuke,Shueisha,ONGOING,"From Viz:  
Every time a promising villain appears, Saitama beats the snot out of ’em with one punch! Can he finally find an opponent who can go toe-to-toe with him and give his life some meaning? Or is he doomed to a life of superpowered boredom?

Note: Was nominated for the seventh annual Manga Taishō Award in 2014, an Eisner Award in 2015 and a Harvey Award in 2016. Won the Sugoi Japan Award and the Spanish Manga Barcelona award in the Seinen category in 2017.

[Official Japanese](https://tonarinoyj.jp/episode/13932016480028985383)  

[Official English](https://www.viz.com/shonenjump/chapters/one-punch-man)",https://cdn.mangaupdates.com/image/i517860.jpg,,4.4,,,Action;Adventure;Comedy;Drama;Sci-fi;Seinen;Supernatural;Sci-Fi,MADHOUSE,,1,12,1,8,1,36,7,37,애니 시청 후 원작 7권 37화부터,,"[MangaUpdates] 애니화 시작: Vol 1, Chap 1 (S1) / Vol 7, Chap 37 (S2) / Vol 17, Chap 86 (S3P1) / 종료: Vol 8, Chap 36 (S1) / Vol 17, Chap 85 (S2) / Vol 24, Chap 115 (S3P1) "
ONE PIECE,ONE PIECE,TVA,1999,,ONGOING,Toei Animation,"Gold Roger was known as the Pirate King, the strongest and most infamous being to have sailed the Grand Line. The capture and death of Roger by the World Government brought a change throughout the world. His last words before his death revealed the location of the greatest treasure in the world, One Piece. It was this revelation that brought about the Grand Age of Pirates, men who dreamed of finding One Piece (which promises an unlimited amount of riches and fame), and quite possibly the most coveted of titles for the person who found it, the title of the Pirate King.


Enter Monkey D. Luffy, a 17-year-old boy that defies your standard definition of a pirate. Rather than the popular persona of a wicked, hardened, toothless pirate who ransacks villages for fun, Luffy’s reason for being a pirate is one of pure wonder; the thought of an exciting adventure and meeting new and intriguing people, along with finding One Piece, are his reasons of becoming a pirate. Following in the footsteps of his childhood hero, Luffy and his crew travel across the Grand Line, experiencing crazy adventures, unveiling dark mysteries and battling strong enemies, all in order to reach One Piece.


*This includes the following special episodes:

- Chopperman to the Rescue! Protect the TV Station by the Shore! (Episode 336)

- The Strongest Tag-Team! Luffy and Toriko's Hard Struggle! (Episode 492)

- Team Formation! Save Chopper (Episode 542)

- History's Strongest Collaboration vs. Glutton of the Sea (Episode 590)

- 20th Anniversary! Special Romance Dawn (Episode 907)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx21-ELSYx3yMPcKM.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/21-wf37VakJmZqs.jpg,4.3,,,One Piece,Đảo Hải Tặc,ODA Eiichiro,ODA Eiichiro,Shueisha,ONGOING,"From Viz:  
As a child, Monkey D. Luffy was inspired to become a pirate by listening to the tales of ""Red-Haired"" Shanks. But his life changed when Luffy accidentally ate the Gum-Gum Devil Fruit and gained the power to stretch like rubber at the cost of never being able to swim again. Years later, still vowing to become the king of the pirates, Luffy sets out on his adventure one guy alone in a rowboat, in search of the legendary ""One Piece,"" said to be the greatest treasure in the world.

The best-selling manga in history and tied with Superman for the best-selling comics in history.

**Original Japanese:**  
[Jump Comics](https://www.shueisha.co.jp/books/items/contents.html?isbn=4-08-872509-3), [Jump Comics DIGITAL](https://www.s-manga.net/items/contents.html?jdcn=08872509872509315501), [Shonen Jump Plus](https://shonenjumpplus.com/episode/10833519556325021794), [Yangjiang+](https://ynjn.jp/comicList/1619), [Zebrack](https://zebrack-comic.shueisha.co.jp/title/59/volume/1716)

**Official Translations:**  
Read for FREE on Manga Plus ([English](https://mangaplus.shueisha.co.jp/titles/100020), [French](https://mangaplus.shueisha.co.jp/titles/700005), [German](https://mangaplus.shueisha.co.jp/titles/800001), [Indonesian](https://mangaplus.shueisha.co.jp/titles/100140), [Portugese](https://mangaplus.shueisha.co.jp/titles/100149), [Spanish](https://mangaplus.shueisha.co.jp/titles/200016), [Thai](https://mangaplus.shueisha.co.jp/titles/100079), [Vietnamese](https://mangaplus.shueisha.co.jp/titles/1000001))     

[English](https://www.viz.com/manga-books/one-piece/series/5/section/62123/more), [French](https://www.ono.live/manga/one-piece-chapitres), Korean ([Kakao Page](https://page.kakao.com/content/46347471), [Manyeo Comics](https://www.mcomics.co.kr/cartoon/9688?from=cartoon), [MrBlue](https://www.mrblue.com/comic/dcwcm_0121), [Naver Series](https://series.naver.com/comic/detail.series?productNo=2549781), [RIDI](https://ridibooks.com/books/1019015746))

Note: Nominated for the Tezuka Osamu Cultural Prize from 2000 to 2002. Won the Sondermann audience award at the Frankfurt Book Fair Comics Centre in 2005, 2008 and 2009. Won the 41st Japan Cartoonists Association Award Grand Prize alongside [Neko Darake](https://www.mangaupdates.com/series.html?id=48911469395) in 2012. Received the Kumamoto Prefecture Honorary Prize in 2018",https://cdn.mangaupdates.com/image/i530035.jpg,,4.4,,,Action;Adventure;Comedy;Drama;Fantasy;Shounen,Toei Animation,,1,,1,111,1,1128,111,1129,애니 시청 후 원작 111권 1129화부터,,"[MangaUpdates] 애니화 시작: Vol 1, Chap 1 (Chap 1 adapted in EP 4) / 종료: Vol 111, Chap 1128 (As of EP 1158)"
Tokyo Ghoul,東京喰種 トーキョーグール,TVA,2014,12,COMPLETED,Studio Pierrot,"The suspense horror/dark fantasy story is set in Tokyo, which is haunted by mysterious ""ghouls"" who are devouring humans. People are gripped by the fear of these ghouls whose identities are masked in mystery. An ordinary college student named Kaneki encounters Rize, a girl who is an avid reader like him, at the café he frequents. Little does he realize that his fate will change overnight.



(Source: Anime News Network)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b20605-k665mVkSug8D.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/20605-RCJ7M71zLmrh.jpg,3.8,,,Tokyo Ghoul,Tokyo Gûl,ISHIDA Sui,ISHIDA Sui,Shueisha,COMPLETED,"From Viz:  
Shy Ken Kaneki is thrilled to go on a date with the beautiful Rize. But it turns out that she’s only interested in his body - eating it, that is. When a morally questionable rescue transforms him into the first half-human half-Ghoul hybrid, Ken is drawn into the dark and violent world of Ghouls, which exists alongside our own.

Note: The prototype chapter won the Young Jump 113th Grand Prix award in 2010.

[Read for FREE on Manga Plus](https://mangaplus.shueisha.co.jp/titles/100027)",https://cdn.mangaupdates.com/image/i208080.jpg,,4.1,,,Action;Drama;Horror;Mature;Mystery;Psychological;Seinen;Supernatural;Tragedy,Studio Pierrot,,1,12,1,7,1,66,7,67,애니 시청 후 원작 7권 67화부터,,"[MangaUpdates] 애니화 시작: Vol 1, Chap 1 (S1) / Vol 7, Chap 67 (Root A) / 종료: Vol 7, Chap 66 (S1) Abridged / Vol 14, Chap 144 (Root A) Most of Root A is original and not canon to :Re"
,,,,,,,,,,,,,Shingeki no Kyojin dj - Addendum,Attack on Titan dj - Addendum,ikichi8 (tkjn),ikichi8 (tkjn),,COMPLETED,Pairing: Erwin x Levi,https://cdn.mangaupdates.com/image/i371288.jpg,,,,,Doujinshi;Shounen Ai,,,,,,,,,,,,,
