애니제목,방영연도,만화제목,MU제목,MU_URL,anime_start,anime_end,분류,추천이어보기권,추천이어보기화,비고
원피스,1999,ONE PIECE 로그타운편,One Piece,https://www.mangaupdates.com/series/pb8uwds/one-piece,"Vol 1, Chap 1 (Chap 1 adapted in EP 4)","Vol 111, Chap 1128 (As of EP 1158)",사용가능,111,1129,
도로로,2019,도로로,Dororo,https://www.mangaupdates.com/series/pjrq4w0/dororo,"Vol 1, Chap 1 (1969/2019) Alternate settings",,불가,,,종료점 없음
신의 탑 -Tower of God- 1기,2020,신의 탑,Tower of God,https://www.mangaupdates.com/series/5z98aus/tower-of-god,"S1, Chap 0 (S1) / S2, Chap 1 (S2)","S1, Chap 78 (S1) Anime different throughout / S2, Chap 110 (S2)",화만가능,,1,원작과 전개 차이 있음(검토 권장) / 웹툰 등 권(volume) 정보 없음
갓 오브 하이스쿨,2020,갓 오브 하이스쿨,God of High School,https://www.mangaupdates.com/series/wmt1xxw/god-of-high-school,"S1, Chap 1","S2, Chap 112 Abridged",화만가능,,113,원작과 전개 차이 있음(검토 권장) / 웹툰 등 권(volume) 정보 없음
마사무네 군의 리벤지,2017,마사무네 군의 리벤지,Masamune-kun no Revenge,https://www.mangaupdates.com/series/q7bkc1j/masamune-kun-no-revenge,"Vol 1, Chap 1 (S1) / Vol 7, Chap 30 (S2)","Vol 6, Chap 29 (S1) / Vol 10, Chap 49 (S2)",사용가능,7,30,
오렌지,2016,orange [오렌지],Strange Orange,https://www.mangaupdates.com/series/s3h7dnw/strange-orange,,,불가,,,종료점 없음
마기 The labyrinth of magic,2012,마기,Magi - Labyrinth of Magic,https://www.mangaupdates.com/series/bitghgl/magi-labyrinth-of-magic,"Vol 1, Chap 2 (S1) / Vol 12, Chap 116 (S2)","Vol 12, Chap 115 (S1) / Vol 20, Chap 198 (S2) Skips Chap 1, 106, 127",사용가능,12,116,
드래곤볼 슈퍼,2015,은하 순찰 자코,Milky Way,https://www.mangaupdates.com/series/kf32dpa/milky-way,,,불가,,,종료점 없음
케이온!!,2010,케이온!,K-ON!,https://www.mangaupdates.com/series/0pbecun/k-on,"Vol 1, Chap 1 (S1)","Vol 4, Chap 52 (S2) | Movie expands on some scenes/panels of Vol 4, takes place between episodes 22-24 and is entirely anime-original.",사용가능,4,53,
좋아해도 좋다.,2012,좋아해도 좋다.,Suki tte Ii na yo.,https://www.mangaupdates.com/series/o0x22dc/suki-tte-ii-na-yo,"Vol 1, Chap 1","Vol 7, Chap 28 (Skips Chap 5, 7 and abridged from Vol 5)",사용가능,7,29,원작과 전개 차이 있음(검토 권장)
처음 걸,2017,처음 걸,Hajimete no Gal,https://www.mangaupdates.com/series/a5l2amy/hajimete-no-gal,"Vol 1, Chap 1 Different Settings",,불가,,,종료점 없음
라키☆스타,2007,라키☆스타,Lucky Star,https://www.mangaupdates.com/series/ekcswzw/lucky-star,"Vol 1, Chap 1 Adapts and expands selected chapters",,불가,,,종료점 없음
넷충의 스스메,2017,넷충의 스스메,Netojuu no Susume,https://www.mangaupdates.com/series/spe0y7y/netojuu-no-susume,"Vol 1, Chap 1","Vol 2, Chap 87",사용가능,2,88,
우리는 공부할 수 없다.,2019,우리는 공부할 수 없다.,Bokutachi wa Benkyou ga Dekinai,https://www.mangaupdates.com/series/r2jej4f/bokutachi-wa-benkyou-ga-dekinai,"Vol 1, Chap 1","Vol 8, Chap 69 (S2) Original Ending",사용가능,8,70,원작과 전개 차이 있음(검토 권장)
죠죠의기묘한 모험 스톤 오션,2022,죠죠의 기묘한 모험 스톤 오션,JoJo no Kimyou na Bouken Part 6: Stone Ocean,https://www.mangaupdates.com/series/17wxg29/jojo-no-kimyou-na-bouken-part-6-stone-ocean,"Vol 64, Chap 595 (Part 1)","Vol 80, Chap 752 (Part 3)",사용가능,80,753,
신의 탑 -Tower of God- 2기,2024,신의 탑,Tower of God,https://www.mangaupdates.com/series/5z98aus/tower-of-god,"S1, Chap 0 (S1) / S2, Chap 1 (S2)","S1, Chap 78 (S1) Anime different throughout / S2, Chap 110 (S2)",화만가능,,1,원작과 전개 차이 있음(검토 권장) / 웹툰 등 권(volume) 정보 없음
은혼゜,2015,은혼,Gintama,https://www.mangaupdates.com/series/4wcv4hy/gintama,"Vol 1, Chap 1 (Gintama) / Vol 34, Chap 293 (Gintama') / Vol 47, Chap 411 (Gintama°) / Vol 62, Chap 552 (Gintama. 2017)","Vol 34, Chap 292 (Gintama) / Vol 47, Chap 410 (Gintama' Enchousen) / Vol 61, Chap 551 (Gintama°+ Love Potion OVA) / Vol 77, Chap 704 (The Final Movie) Skipped Chap 487",사용가능,34,293,
GOLDEN BOY 떠돌이 공부꾼,1995,골든 보이 ~ 사스라이 공부 녀석 ~,Golden Boy,https://www.mangaupdates.com/series/nwhe3g5/golden-boy,"Vol 1, Chap 0 (OVA 1)","Vol 1, Chap 5 (OVA 5) Skips Chap 2, OVA 6 is an original ending",사용가능,1,6,원작과 전개 차이 있음(검토 권장)
학생회 임원들,2010,학생회 임원들,Seitokai Yakuindomo,https://www.mangaupdates.com/series/aant0dv/seitokai-yakuindomo,"Vol 1, Chap 1 Adapts selected chapters",,불가,,,종료점 없음
황천의 쓰가이,2026,황천의 쓰가이,Yomi no Tsugai,https://www.mangaupdates.com/series/o0x9mdx/yomi-no-tsugai," Vol 1, Chap 1",,불가,,,종료점 없음
키스×시스(TV),2010,키스 x시스,Bakemonogatari dj - Hame x Shisu,https://www.mangaupdates.com/series/n8dmt1n/bakemonogatari-dj-hame-x-shisu,,,불가,,,종료점 없음
드래곤 볼 카이,2009,드래곤볼,Dragon Ball,https://www.mangaupdates.com/series/iitcsf0/dragon-ball,"Vol 1, Chap 1 (Dragon Ball) / Vol 17, Chap 195  (DBZ/Kai)","Vol 16, Chap 194 (Dragon Ball) / Vol 42, Chap 519 (DBZ/Kai)",사용가능,17,195,
사랑은 비가 오기처럼,2018,사랑은 비가 오기처럼,Koi wa Ameagari no You ni,https://www.mangaupdates.com/series/zu7pyny/koi-wa-ameagari-no-you-ni,"Vol 1, Chap 1","Vol 5, Chap 39 (EP 11-12 Original ending similar to the manga)",사용가능,5,40,원작과 전개 차이 있음(검토 권장)
사이키 쿠스오의 Ψ난 완결편,2018,사이키 쿠스오의 Ψ난,Saiki Kusuo no Ψ Nan,https://www.mangaupdates.com/series/x5dqwsp/saiki-kusuo-no-ps-nan,"Vol 01, Chap 01 (S1) / Vol 12, Chap 124 (S2)","Vol 12, Chap 123 (S1) / Vol 26, Chap 281 (S2 + Special + Reawakened)",사용가능,12,124,
넘바카,2016,넘바카,Nanbaka,https://www.mangaupdates.com/series/3rthjnh/nanbaka,Chap 1 (S1),Chap 94 (S2),화만가능,,95,웹툰 등 권(volume) 정보 없음
남편이 무슨 말을 하는지 모르겠다,2014,남편이 무슨 말을 하는지 모르겠다,Danna ga Nani o Itte Iru ka Wakaranai Ken,https://www.mangaupdates.com/series/sed7jqx/danna-ga-nani-o-itte-iru-ka-wakaranai-ken,,,불가,,,종료점 없음
은혼.,2017,은혼,Gintama,https://www.mangaupdates.com/series/4wcv4hy/gintama,"Vol 1, Chap 1 (Gintama) / Vol 34, Chap 293 (Gintama') / Vol 47, Chap 411 (Gintama°) / Vol 62, Chap 552 (Gintama. 2017)","Vol 34, Chap 292 (Gintama) / Vol 47, Chap 410 (Gintama' Enchousen) / Vol 61, Chap 551 (Gintama°+ Love Potion OVA) / Vol 77, Chap 704 (The Final Movie) Skipped Chap 487",사용가능,34,293,
샤먼킹 (2021),2021,샤먼 킹 정식 버전,Shaman King Kanzenban,https://www.mangaupdates.com/series/v67y2zo/shaman-king-kanzenban,"Vol 1, Chap 1 (2001/2021)","Vol 9, Chap 78 (2001 EP 25) Differences from EP 26-45, Original Ending EP 46-64 / Vol 35, Chap 300 (2021) Heavily abridged",사용가능,9,79,원작과 전개 차이 있음(검토 권장)
코토우라씨,2013,코토우라씨,Kotoura-san,https://www.mangaupdates.com/series/gvsw4ng/kotoura-san,"Vol 1, Chap 1 Alternate setting",,불가,,,종료점 없음
